系列,模型,任务,方法,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_precision,strict_recall,strict_f1,tolerant_precision,tolerant_recall,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,parseable_ratio,format_failure_rate,empty_output_rate,train_examples,val_examples,test_examples,best_checkpoint,predictions_file,multi_label_predictions_file,本地metrics路径
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,has_vul,direct,completed,compute_node_a,matrix_balanced721_qwen05_e1__has_vul__direct,0.48582310622090563,0.43243243243243246,0.013223140495867768,0.02566158781074579,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/matrix_balanced721_qwen05_e1__has_vul__direct/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,has_vul,full,completed,compute_node_a,matrix_balanced721_qwen05_e1__has_vul__full,0.8751586965721541,0.8940568475452196,0.8578512396694215,0.8755799240826655,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/matrix_balanced721_qwen05_e1__has_vul__full/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,has_vul,prompt,completed,compute_node_a,matrix_balanced721_qwen05_e1__has_vul__prompt,0.48709267879813795,0.4782608695652174,0.01818181818181818,0.03503184713375796,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/matrix_balanced721_qwen05_e1__has_vul__prompt/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,has_vul,qlora,completed,compute_node_a,matrix_balanced721_qwen05_e1__has_vul__qlora,0.7291578501904359,0.7320846905537459,0.7429752066115702,0.7374897456931911,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/matrix_balanced721_qwen05_e1__has_vul__qlora/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_line,direct,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_line__direct,,,,,0.051632,0.040116,0.045151,0.180917,0.076701,0.107729,0.268897,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_line,full,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_line__full,,0.334572,0.259949,,0.334572,0.259949,0.292577,0.480793,0.328626,0.390406,0.845105,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_line__full/checkpoint-22502,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__full/predictions_test.jsonl,,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__full/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_line,prompt,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_line__prompt,,,,,0.05948,0.046213,0.052014,0.180917,0.059371,0.089403,0.219331,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_line,qlora,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_line__qlora,,0.291202,0.226252,,0.291202,0.226252,0.254651,0.481206,0.304236,0.372784,0.789343,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_type,direct,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_type__direct,0.192269,0.192269,0.131706,0.156327,,,,,,,,,,521,0.18618,0.18618,0.067502,0.099081,0.267202,0.11793,0.057564,,,,,,,,,1992,,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_type,full,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_type__full,0.763554,0.763554,0.52304,0.620816,,,,,,,,,,521,0.796545,0.796545,0.288796,0.423902,0.851339,0.388493,0.47549,,,,,,,24992,3829,1992,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_type__full/checkpoint-3124,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__full/predictions_test.jsonl,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__full/predictions_test_multi_label.jsonl,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__full/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_type,prompt,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_type__prompt,0.199799,0.199799,0.136864,0.162449,,,,,,,,,,521,0.18618,0.18618,0.067502,0.099081,0.163189,0.115773,0.055188,,,,,,,,,1992,,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,vul_type,qlora,completed,compute_node_a,matrix_balanced721_qwen05_e1__vul_type__qlora,0.600904,0.600904,0.411623,0.488571,,,,,,,,,,521,0.660269,0.660269,0.239388,0.351379,0.63799,0.291479,0.363007,,,,,,,24992,3829,1992,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,has_vul,direct,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__has_vul__direct,0.4955564959796868,0.6875,0.02727272727272727,0.05246422893481717,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__has_vul__direct/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,has_vul,full,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__has_vul__full,0.8751586965721541,0.8933791917454859,0.8586776859504133,0.8756847871892119,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__has_vul__full/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,has_vul,prompt,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__has_vul__prompt,0.48243757934828607,0.4,0.021487603305785124,0.0407843137254902,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__has_vul__prompt/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,has_vul,qlora,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__has_vul__qlora,0.7507405840033855,0.7497988736926791,0.7702479338842976,0.7598858540562576,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__has_vul__qlora/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_line,direct,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_line__direct,,,,,0.062784,0.04878,0.054903,0.23957,0.096277,0.137355,0.309789,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_line,full,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_line__full,,0.331681,0.257702,,0.331681,0.257702,0.290049,0.500207,0.326059,0.394781,0.827757,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_line__full/checkpoint-22502,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__full/predictions_test.jsonl,,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__full/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_line,prompt,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_line__prompt,,,,,0.072284,0.056162,0.063211,0.244527,0.120026,0.161017,0.366791,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_line,qlora,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_line__qlora,,0.293267,0.227856,,0.293267,0.227856,0.256457,0.493598,0.307125,0.378648,0.791822,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_type,direct,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_type__direct,0.24247,0.24247,0.166094,0.197143,,,,,,,,,,521,0.18618,0.18618,0.067502,0.099081,0.536346,0.144791,0.090532,,,,,,,,,1992,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_type,full,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_type__full,0.770582,0.770582,0.527854,0.626531,,,,,,,,,,521,0.794626,0.794626,0.2881,0.42288,0.855912,0.387488,0.472896,,,,,,,24992,3829,1992,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_type__full/checkpoint-3124,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__full/predictions_test.jsonl,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__full/predictions_test_multi_label.jsonl,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__full/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_type,prompt,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_type__prompt,0.194779,0.194779,0.133425,0.158367,,,,,,,,,,521,0.1881,0.1881,0.068198,0.100102,0.128064,0.112749,0.054361,,,,,,,,,1992,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,vul_type,qlora,completed,compute_node_a,formal_balanced721_qwen25coder15b_e1__vul_type__qlora,0.642068,0.642068,0.439821,0.522041,,,,,,,,,,521,0.694818,0.694818,0.251914,0.369765,0.681352,0.324511,0.404862,,,,,,,24992,3829,1992,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,has_vul,direct,completed,compute_node_c,remote_qwen25coder14b_e1__has_vul__direct,0.5404147270418959,0.7026143790849673,0.17768595041322313,0.2836411609498681,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_qwen25coder14b_e1__has_vul__direct/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,has_vul,prompt,completed,compute_node_c,remote_qwen25coder14b_e1__has_vul__prompt,0.5048666948793906,0.5925925925925926,0.10578512396694215,0.17952314165497896,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_qwen25coder14b_e1__has_vul__prompt/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,has_vul,qlora,completed,compute_node_c,remote_qwen25coder14b_e1__has_vul__qlora,0.7685146000846381,0.7792754844144903,0.7644628099173554,0.7717980809345014,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_qwen25coder14b_e1__has_vul__qlora/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,vul_line,direct,completed,compute_node_c,remote_qwen25coder14b_e1__vul_line__direct,,,,,0.057001,0.044288,0.049846,0.18133,0.074775,0.105886,0.273854,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_qwen25coder14b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/remote_qwen25coder14b_e1__vul_line__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,vul_line,prompt,completed,compute_node_c,remote_qwen25coder14b_e1__vul_line__prompt,,,,,0.055349,0.043004,0.048402,0.200743,0.100128,0.133612,0.315985,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_qwen25coder14b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/remote_qwen25coder14b_e1__vul_line__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,vul_line,qlora,completed,compute_node_c,remote_qwen25coder14b_e1__vul_line__qlora,,0.315159,0.244865,,0.315159,0.244865,0.275601,0.507641,0.321887,0.393966,0.821561,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_qwen25coder14b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_qwen25coder14b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_qwen25coder14b_e1__vul_line__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,vul_type,direct,completed,compute_node_c,remote_qwen25coder14b_e1__vul_type__direct,0.250502,0.250502,0.171596,0.203673,,,,,,,,,,521,0.201536,0.201536,0.073069,0.107252,0.43597,0.155271,0.117382,,,,,,,,,1992,,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/remote_qwen25coder14b_e1__vul_type__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,vul_type,prompt,completed,compute_node_c,remote_qwen25coder14b_e1__vul_type__prompt,0.208333,0.208333,0.14271,0.169388,,,,,,,,,,521,0.191939,0.191939,0.069589,0.102145,0.369994,0.122606,0.058547,,,,,,,,,1992,,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/remote_qwen25coder14b_e1__vul_type__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,vul_type,qlora,completed,compute_node_c,remote_qwen25coder14b_e1__vul_type__qlora,0.663655,0.663655,0.454608,0.539592,,,,,,,,,,521,0.700576,0.700576,0.254001,0.372829,0.708704,0.349551,0.435038,,,,,,,24992,3829,1992,artifacts/checkpoints/remote_qwen25coder14b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/remote_qwen25coder14b_e1__vul_type__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,has_vul,direct,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__has_vul__direct,0.5366060093101989,0.7003484320557491,0.16611570247933885,0.2685370741482966,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__has_vul__direct/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,has_vul,prompt,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__has_vul__prompt,0.5336436732966567,0.7125984251968503,0.14958677685950414,0.24726775956284153,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__has_vul__prompt/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,has_vul,qlora,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__has_vul__qlora,0.7524333474396953,0.7576257213520198,0.759504132231405,0.7585637639290136,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_qwen25coder32b_e1_gpu6__has_vul__qlora/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,vul_line,direct,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__vul_line__direct,,,,,0.078893,0.061297,0.06899,0.249484,0.134788,0.175019,0.415118,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_line__direct/predictions.jsonl,,artifacts/metrics/remote_qwen25coder32b_e1_gpu6__vul_line__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,vul_line,prompt,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__vul_line__prompt,,,,,0.08385,0.065148,0.073325,0.264354,0.13896,0.182164,0.416357,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_line__prompt/predictions.jsonl,,artifacts/metrics/remote_qwen25coder32b_e1_gpu6__vul_line__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,vul_line,qlora,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__vul_line__qlora,,0.316811,0.246149,,0.316811,0.246149,0.277045,0.505576,0.321566,0.393103,0.817844,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_qwen25coder32b_e1_gpu6__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_qwen25coder32b_e1_gpu6__vul_line__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,vul_type,direct,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__vul_type__direct,0.228916,0.228916,0.156809,0.186122,,,,,,,,,,521,0.199616,0.199616,0.072373,0.106231,0.477331,0.147324,0.111847,,,,,,,,,1992,,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/remote_qwen25coder32b_e1_gpu6__vul_type__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,vul_type,prompt,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__vul_type__prompt,0.208835,0.208835,0.143054,0.169796,,,,,,,,,,521,0.182342,0.182342,0.06611,0.097038,0.251891,0.124642,0.052608,,,,,,,,,1992,,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/remote_qwen25coder32b_e1_gpu6__vul_type__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-32B-Instruct,vul_type,qlora,completed,compute_node_c,remote_qwen25coder32b_e1_gpu6__vul_type__qlora,0.688253,0.688253,0.471458,0.559592,,,,,,,,,,521,0.752399,0.752399,0.272791,0.400409,0.748189,0.35853,0.44455,,,,,,,24992,3829,1992,artifacts/checkpoints/remote_qwen25coder32b_e1_gpu6__vul_type__qlora/checkpoint-3124,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_qwen25coder32b_e1_gpu6__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/remote_qwen25coder32b_e1_gpu6__vul_type__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,has_vul,direct,completed,compute_node_a,machine_a_qwen25coder3b_e1__has_vul__direct,0.5370292001692764,0.6442786069651741,0.2140495867768595,0.3213399503722084,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/machine_a_qwen25coder3b_e1__has_vul__direct/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,has_vul,full,completed,compute_node_c,machine_c_qwen25coder3b_full_e1__has_vul__full,0.8726195514176894,0.8835443037974684,0.8652892561983471,0.874321503131524,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/machine_c_qwen25coder3b_full_e1__has_vul__full/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,has_vul,prompt,completed,compute_node_a,machine_a_qwen25coder3b_e1__has_vul__prompt,0.4845535336436733,0.4854014598540146,0.10991735537190082,0.1792452830188679,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/machine_a_qwen25coder3b_e1__has_vul__prompt/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,has_vul,qlora,completed,compute_node_a,machine_a_qwen25coder3b_e1__has_vul__qlora,0.7786711807024969,0.7754611066559743,0.7991735537190082,0.7871387871387872,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/machine_a_qwen25coder3b_e1__has_vul__qlora/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,vul_line,direct,completed,compute_node_a,machine_a_qwen25coder3b_e1__vul_line__direct,,,,,0.060719,0.047176,0.053097,0.167699,0.054557,0.08233,0.204461,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/machine_a_qwen25coder3b_e1__vul_line__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,vul_line,full,completed,compute_node_c,machine_c_qwen25coder3b_full_e1__vul_line__full,,0.337877,0.262516,,0.337877,0.262516,0.295467,0.500207,0.336008,0.401986,0.843866,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/machine_c_qwen25coder3b_full_e1__vul_line__full/checkpoint-22502,artifacts/predictions/machine_c_qwen25coder3b_full_e1__vul_line__full/predictions_test.jsonl,,artifacts/metrics/machine_c_qwen25coder3b_full_e1__vul_line__full/metrics.json
